id,brand,instagram_link,variant,variant_image_url,variant_link,concentration,rating,gender,size (ml),price,price_per_ml,top_notes1,top_notes2,top_notes3,mid_notes1,mid_notes2,mid_notes3,base_notes1,base_notes2,base_notes3
151,Layr Fragrance,,Midnight Haze,,https://shopee.co.id/LAYR-FRAGRANCE-MIDNIGHT-HAZE-i.961272300.23834162760?xptdk=2ff02927-9c85-4f2f-a985-5da72dae9a00,ExDP,4.9,Unisex,50,"249,000.00","4,980.00",Pink Pepper,Cardamom,Lavender,Oud,Jasmine,Cedarwood,Amber,Vanilla,Musk
152,Layr Fragrance,,Get Naked,,https://shopee.co.id/LAYR-FRAGRANCE-GET-NAKED-i.961272300.22134169806?xptdk=85e6cc6b-03cc-4793-9411-04120f4e0625,ExDP,4.6,Unisex,50,"249,000.00","4,980.00",Tobacco,Green Pear,Violet,Magnolia,Sandalwood,Red Rose,Amber,Cedarwood,Musk
153,Leuseni,https://instagram.com/leuseniofficial?igshid=YmMyMTA2M2Y=,Patisserie,,https://www.tokopedia.com/leuseniparfums/50ml-patisserie-eau-de-parfum-perfume-de-leuseni?extParam=whid%3D2921678,EDP,4.9,Unisex,50,"995,000.00","19,900.00",Bergamot,Coriander,Pink Pepper,Orange Blossom,Chocolate,Coffee,Almond,Sandalwood,Labdanum
154,Leuseni,,Jeune Femme,,https://www.tokopedia.com/leuseniparfums/50ml-jeune-femme-extrait-de-parfum-perfume-de-leuseni?extParam=whid%3D2921678,EDP,4.5,Feminime,50,"995,000.00","19,900.00",Bergamot,Orange Blossom,,Vanilla,Heliotrope,Red Rose,Vanilla,Sandalwood,Amyris
155,Leuseni,,Leather Oud,,https://www.tokopedia.com/leuseniparfums/50ml-leather-oud-eau-de-parfum-perfume-de-leuseni?extParam=whid%3D2921678,EDP,4.2,Unisex,50,"995,000.00","19,900.00",Bergamot,Lemon,Leathery,Red Rose,Iris,Osmanthus,Leathery,Agarwood,Patchouli
156,Maison d' Ophelia,https://www.instagram.com/maisondeophelia/,Hamlet,,https://shopee.co.id/maisonde.ophelia/20671899614,EDP,4.7,Unisex,50,"475,000.00","9,500.00",Mandarin Orange,Grapefruit,Salt,Seaweed,Citrus,,Citrus,Salt,Amber
157,Maison d' Ophelia,,Aphrodite,,https://shopee.co.id/APHRODITE-MAISON-D'-OPHELIA-EAU-DE-PARFUM-50ml-i.944238035.22520302449?sp_atk=ee92107f-36c0-46fa-a8c4-7ea07fd36cea&xptdk=ee92107f-36c0-46fa-a8c4-7ea07fd36cea,EDP,4.1,Unisex,50,"550,000.00","11,000.00",Pomegranate,Red Rose,,Musk,Powdery,Red Rose,Musk,Red Rose,Pomegranate
158,Maison d' Ophelia,,Papillon,,https://shopee.co.id/PAPILLON-MAISON-D'-OPHELIA-EAU-DE-PARFUM-50ml-i.944238035.21271899059?sp_atk=35e0ec59-398b-405a-b1ff-7f4a1823db37&xptdk=35e0ec59-398b-405a-b1ff-7f4a1823db37,EDP,4.7,Unisex,50,"1,500,000.00","30,000.00",Jasmine,Lime,Ylang Ylang,Vanilla,Raspberry,Jasmine,Musk,Jasmine,Amber
159,Maison d' Ophelia,,Rose de Mai,,https://shopee.co.id/Red Rose-DE-MAI-MAISON-D'-OPHELIA-EAU-DE-PARFUM-50ml-i.944238035.19771901119?sp_atk=cfd8ac5d-73d4-461e-9d9f-29594a1f0674&xptdk=cfd8ac5d-73d4-461e-9d9f-29594a1f0674,EDP,4.2,Unisex,50,"1,250,000.00","25,000.00",Red Rose,Powdery,,Musk,Powdery,Red Rose,Musk,Red Rose,
160,Maison d' Ophelia,,Signature,,https://shopee.co.id/SIGNATURE-MAISON-D'-OPHELIA-EAU-DE-PARFUM-50ml-i.944238035.22720300876?sp_atk=b9e60dd6-4b6c-4829-91a6-f9f034b7df9a&xptdk=b9e60dd6-4b6c-4829-91a6-f9f034b7df9a,EDP,4,Unisex,50,"475,000.00","9,500.00",Freesia,Red Rose,Whiteoud,Musk,Peony,,Whiteoud,Pear,Red Rose
161,Maison SONO,https://www.instagram.com/maisonsono/?hl=en,Walking The Aisle,,https://shopee.co.id/maisonsono/17668723027,EDP,4.6,Unisex,35,"169,000.00","4,828.57",Water Jasmine,Ginger Flower,Green Mandarin Orange,Red Apple,Patchouli,Vanilla,Pear,Melon,Musk
162,Maison SONO,,Island in The Sun,,https://shopee.co.id/SONO-Perfume-Island-in-The-Sun-(35ml)-i.772857577.16468725770?sp_atk=48da9d3c-23a6-496d-a4c0-41916736af42&xptdk=48da9d3c-23a6-496d-a4c0-41916736af42,EDP,4.2,Unisex,35,"169,000.00","4,828.57",Cashmere,Amberwood,Vetiver,Hazelnut,Cedarwood,Plum,Sandalwood,Patchouli,Tonka Bean
163,Maison SONO,,Sleep On The Floor,,https://shopee.co.id/SONO-Perfume-Sleep-On-The-Floor-(35ml)-i.772857577.17168719891?sp_atk=c6a72f63-9681-4c49-b699-ec50f9d3765c&xptdk=c6a72f63-9681-4c49-b699-ec50f9d3765c,EDP,4,Unisex,35,"169,000.00","4,828.57",Gardenia,Bergamot,Apple,Iris,Oakmoss,Patchouli,Musk,Vanilla,Vetiver
164,Maison SONO,,Moon River,,https://shopee.co.id/Moon-River-SONO-Travel-Size-Perfume-10ml-i.772857577.22115542660?sp_atk=c3c6f93a-10aa-4254-8ac9-defe2fb95544&xptdk=c3c6f93a-10aa-4254-8ac9-defe2fb95544,EDP,4.7,Unisex,10,"59,000.00","5,900.00",Bubble Gum,Orange,,Amber,Peach,Musk,Vanilla,Coconut,Sandalwood
165,Maison SONO,,La Roslyn,,https://shopee.co.id/La-Roslyn-SONO-Travel-Size-Perfume-10ml-i.772857577.22023856938?sp_atk=0c89f465-dc54-4a47-8c53-a57f932451e2&xptdk=0c89f465-dc54-4a47-8c53-a57f932451e2,EDP,4.1,Unisex,10,"59,000.00","5,900.00",Bergamot,Cashmere,Patchouli,Pomegranate,Musk,Amber,Red Rose,Water Lily,Tuberose
166,Maison William Sicher,https://www.instagram.com/maisonwilliamsicher/,Sunrise Forest,,https://shopee.co.id/williamsicher1988/17084666836,EDP,4.2,Unisex,50,"53,800.00","1,076.00",Tangerine,Passionfruit,,Red Rose,,,Musk,,
167,Maison William Sicher,,Sanctuary Forest,,https://shopee.co.id/williamsicher1988/17084666836,EDP,4.9,Unisex,50,"53,800.00","1,076.00",Orange,Raspberry,Blue Red Rose,Red Rose,,,Cashmere,Musk,
168,Maison William Sicher,,Energy Forest,,https://shopee.co.id/williamsicher1988/17084666836,EDP,4.1,Unisex,50,"54,800.00","1,096.00",Peach Melba,Frangipani,,Raspberry,,,Oud,Musk,
169,Maison William Sicher,,Sanctuary Woody,,https://shopee.co.id/Sicher-Woody-For-Your-Senses-Eau-De-Parfume-50ML-i.489420473.18788603387?sp_atk=021defad-0b35-4db6-835b-436dd77c416e&xptdk=021defad-0b35-4db6-835b-436dd77c416e,EDP,4.8,Unisex,50,"53,800.00","1,076.00",Mace,Lavender,Cedar Bangla,Violet,Carnation,Honeysuckle,Gurjum Balsam,Patchouli,Vetiver
170,Maison William Sicher,,Sunrise Woody,,https://shopee.co.id/Sicher-Woody-For-Your-Senses-Eau-De-Parfume-50ML-i.489420473.18788603387?sp_atk=021defad-0b35-4db6-835b-436dd77c416e&xptdk=021defad-0b35-4db6-835b-436dd77c416e,EDP,4.2,Unisex,50,"54,800.00","1,096.00",Carnation,Honeydew,,Santoline,Spices,Violet,Australia Sandalwood,Amber,Katsura Wood
171,Memoir Perfumery,https://www.instagram.com/memoir_co/,Let's Freaking Go,,https://shopee.co.id/memoirofficial/23632386405,EDP,4.8,Unisex,50,"249,000.00","4,980.00",Lavender,Bergamot,Magnolia,Myrrh,Amber,Guaiac Wood,Tonka Bean,Vanilla,Almond
172,Memoir Perfumery,,Sixty Nine,,https://shopee.co.id/MEMOIR-Eau-De-Parfum-SIXTY-NINE-(69)-50ml-i.966532951.22132393450?sp_atk=e25ae6ec-b63d-474e-8f24-d229729190cb&xptdk=e25ae6ec-b63d-474e-8f24-d229729190cb,EDP,5,Unisex,50,"249,000.00","4,980.00",Cypriol,Saffron,Red Rose,Geranium,Jasmine,Cedarwood,Patchouli,Woody,Sandalwood
173,Midl,https://instagram.com/midl_id?igshid=YmMyMTA2M2Y=,Cloudnine,,https://www.tokopedia.com/midl/midl-cloudnine-perfume-edp-parfum-unisex-30ml?extParam=ivf%3Dfalse,EDP,4,Unisex,30,"125,000.00","4,166.67",Orange,Bergamot,Aromatic,Pear,Vanilla,Amber,Musk,Amber,Amber
174,Midl,,Easy Peasy,,https://www.tokopedia.com/midl/midl-easy-peasy-perfume-edp-parfum-unisex-30ml?extParam=whid%3D14056895,EDP,4.2,Unisex,30,"125,000.00","4,166.67",Lime,Mandarin Orange,,Basil,Thyme,Lilac,Vetiver,Patchouli,
175,Midl,,Ivy,,https://www.tokopedia.com/midl/midl-ivy-edp-parfum-unisex-30ml?extParam=whid%3D14056895,EDP,4.2,Unisex,30,"125,000.00","4,166.67",Litchi,Pear,Bergamot,Turkish Rose,Agarwood,Incense,Vanilla,Amber,Woody
176,Mine. Perfumery,https://www.instagram.com/mine.perfumery/,Ethereal,,https://shopee.co.id/mine.perfumery/8320514334,EDP,4.4,Feminime,50,"370,000.00","7,400.00",Vanilla,Almond,Hedione,Bergamot,Baby's Breath,Pink Pepper,Sandalwood,Cashmere,Orange
177,Mine. Perfumery,,Untamed,,https://shopee.co.id/Mine.-Perfumery-Mine-Dot-UNTAMED-50ml-Eau-De-Parfum-i.397344509.22040592784?sp_atk=38fa0d97-a213-4aa4-950c-e0083cb9c64c&xptdk=38fa0d97-a213-4aa4-950c-e0083cb9c64c,EDP,4.8,Masculine,50,"370,000.00","7,400.00",Citrus,Pink Pepper,Orange Blossom,Toasted Almond,Sandalwood,Juniper,Oud,Vanilla,Patchouli
178,Mine. Perfumery,,Narcotique,,https://shopee.co.id/Mine.-Perfumery-Mine-Dot-NARCOTIQUE-50ml-Eau-De-Parfum-i.397344509.7080621211?sp_atk=e0d53c29-8b20-4ed6-a5f4-aa8854ec4bc8&xptdk=e0d53c29-8b20-4ed6-a5f4-aa8854ec4bc8,EDP,4.8,Unisex,50,"370,000.00","7,400.00",Blood Orange,Bergamot,Sicilian Lemon,Sea Salt,Cardamom,Petitgrain,Vetiver,Cedarwood,Ambrette
179,Mine. Perfumery,,Lucid Dreams,,https://shopee.co.id/Mine.-Perfumery-Mine-Dot-LUCID-DREAMS-50ml-Eau-De-Parfum-i.397344509.9220515754?sp_atk=492d1dd2-f4fc-4236-a536-ba0402ed9451&xptdk=492d1dd2-f4fc-4236-a536-ba0402ed9451,EDP,4.4,Unisex,50,"370,000.00","7,400.00",Air,White Peach,Gardenia,Solar,Maltol,Vanilla,White Musk,Ambergris,Ambroxan
180,Mine. Perfumery,,Floraison,,https://shopee.co.id/Mine.-Perfumery-Mine-Dot-FLORAISON-50ml-Eau-De-Parfum-i.397344509.2923093582?sp_atk=3691c326-9144-47c4-9415-f9fc8d25c08c&xptdk=3691c326-9144-47c4-9415-f9fc8d25c08c,EDP,4.8,Unisex,50,"370,000.00","7,400.00",Pink Pepper,Peony,Lychee,Hedione,Red Rose,,White Musk,Patchouli,Rosewood
181,Mother of Perfumery,https://www.instagram.com/mop.beauty/,Savage Vanilla,,https://shopee.co.id/mop.beauty/18749545990,EDP,4.9,Unisex,45,"420,000.00","9,333.33",Bergamot,Red Rose,,Iris,Cedarwood,,Vanilla,Musk,
182,Multitude Scents,https://www.instagram.com/multitude.scents/,Kalut Kretek,,https://tokopedia.link/zhKfIJGZ7xb,EDP,4.5,Masculine,50,"350,000.00","7,000.00",Black Pepper,Mandarin Orange,,Fig,Clove,Tobacco,Patchouli,Amber,
183,Multitude Scents,,Mawar Merayu,,https://www.tokopedia.com/multitude/multitude-mawar-merayu-eau-de-parfum-50ml?extParam=whid%3D15168389,EDP,4.1,Feminime,50,"350,000.00","7,000.00",Rosa Centifolia,Saffron,,Lavender,Coconut,,Musk,Caramel,Dark Chocolate
184,Mykonos,https://www.instagram.com/officialmykonos/,Coconut Dreams,,https://shopee.co.id/mykonosofficial/14014614942,EDP,4.7,Feminime,50,"119,000.00","2,380.00",Coconut,Aloe Vera,Lily Of The Valley,Coconut Cream,Vanilla,Sweet Rice,Vanilla,Cashmere,
185,Mykonos,,Vanilla Clouds,,https://shopee.co.id/mykonosofficial/14014614942,EDP,5,Feminime,50,"119,000.00","2,380.00",Vanilla,Heliotrope,White Floral,Vanilla,Marshmallow,Iris,Caramel,White Musk,Vanilla
186,Mykonos,,Sansa,,https://shopee.co.id/Mykonos-Sansa-EDP-100-ML-i.146082540.18288393590?sp_atk=e02a82f8-4012-44d2-96f9-c4c3b1a9b0ff&xptdk=e02a82f8-4012-44d2-96f9-c4c3b1a9b0ff,EDP,4.8,Unisex,100,"299,000.00","2,990.00",Moss,Peach,Black Tea,Red Rose,Tuberose,Narcissus,Cedarwood,Orris Root,Vetiver
187,Mykonos,,Baby Love,,https://shopee.co.id/Mykonos-Baby-Love-EDP-100-ML-i.146082540.13783132184?sp_atk=a5b2f4a0-f01c-4173-9ccc-8136d0bcb1ee&xptdk=a5b2f4a0-f01c-4173-9ccc-8136d0bcb1ee,EDP,4.9,Unisex,100,"219,000.00","2,190.00",Violet,Musk,Red Rose,Violet,Red Rose,Peony,Violet,Musk,
188,Mykonos,,Pink Beach,,https://shopee.co.id/Mykonos-Pink-Beach-EDP-100-ML-i.146082540.16157538347?sp_atk=60409456-fd13-4c98-80ef-71cd5cf6993a&xptdk=60409456-fd13-4c98-80ef-71cd5cf6993a,EDP,4,Feminime,100,"219,000.00","2,190.00",Watermelon,Green Kiwi,Pink Pepper,Marine,Lily Of The Valley,Grapefruit,White Musk,Jasmine,Sandalwood
189,Myth Fragrance,https://www.instagram.com/mythfragrance/,Kitsu-Ne,,https://shopee.co.id/mythfragrance/16874162002,EDP,4.7,Unisex,50,"139,000.00","2,780.00",Green Tea,Rice,Orange,Jasmine,Red Rose,Freesia,Iris,Amber,Musk
190,Myth Fragrance,,Persephone,,https://shopee.co.id/Parfum-Persephone-EDP-50ml-MythFragrance-Parfum-Unisex-i.375538192.17179487348?sp_atk=e0b92aa3-9862-46c1-80c1-638d806a47f5&xptdk=e0b92aa3-9862-46c1-80c1-638d806a47f5,EDP,4.2,Unisex,50,"139,000.00","2,780.00",Blackberry,Raspberry,,Tuberose,Orange Blossom,,Black Vanilla,Patchouli,Milk
191,Myth Fragrance,,Toxic Flirt,,https://shopee.co.id/Parfum-Toxic-Flirt-Myth-Fragrance-X-TokoBDG-50ml-i.375538192.16357799663?sp_atk=39e8d1fd-266d-44b8-abe0-f93282cc7f50&xptdk=39e8d1fd-266d-44b8-abe0-f93282cc7f50,EDP,4.1,Unisex,50,"135,000.00","2,700.00",Wild Berries,Plum,Coriander,White Honey,Cinnamon,Tuberose,Vanilla,Amber,Cedarwood
192,Myth Fragrance,,Hades,,https://shopee.co.id/Vial-Parfum-Hades-EDP-5ml-MythFragrance-Parfum-Unisex-Travel-Size-i.375538192.23966877613?sp_atk=d4599b20-97b4-4eee-84fb-41673f61561a&xptdk=d4599b20-97b4-4eee-84fb-41673f61561a,EDP,4.9,Unisex,5,"35,000.00","7,000.00",Pear,Orange Blossom,Pink Pepper,Coffee,Passionfruit,Tiare Flower,Vanilla,Patchouli,Cedarwood
193,Myth Fragrance,,Zeus,,https://shopee.co.id/Vial-Parfum-Zeus-EDP-5ml-MythFragrance-Parfum-Unisex-Travel-Size-i.375538192.17997342669?sp_atk=cd1c1b0c-0ed2-429c-9409-6131a7643482&xptdk=cd1c1b0c-0ed2-429c-9409-6131a7643482,EDP,4.4,Unisex,5,"35,000.00","7,000.00",Blood Orange,Calabrian Bergamot,Lemon,Lavender,Jasmine,Red Rose,Patchouli,Palisander Rosewood,
194,NAMXL,https://www.instagram.com/namxlscent/,Summer Garden,,https://shopee.co.id/namxl/14919258226,EDP,4.2,Feminime,50,"139,300.00","2,786.00",Bergamot,Almond,Tuberose,Jasmine Sambac,Orange,White Rose,Tonka Bean,Vanilla,Sandalwood
195,NAMXL,,Arabian Reverie,,https://shopee.co.id/ARABIAN-REVERIE-by-NAMXL-edp-parfum-50ml-i.627139012.18129788505?sp_atk=ded8cf98-a5de-4871-bd81-5472020bcc42&xptdk=ded8cf98-a5de-4871-bd81-5472020bcc42,EDP,4.7,Unisex,50,"199,000.00","3,980.00",Bergamot,Agarwood,Leathery,Wild Berries,Grapefruits,,Cashmere,Ginger,Benzoin
196,NAMXL,,Bitter Sweet,,https://shopee.co.id/BITTER-SWEET-by-NAMXL-edp-parfum-50ml-i.627139012.20429774335?sp_atk=b2ac34b1-44d9-44ff-b875-0cf39ada9426,EDP,4.7,Unisex,50,"199,000.00","3,980.00",Peach,Caramel,,Vanilla,Kiwi,Jasmine,Rum,Patchouli,Sandalwood
197,NAMXL,,Island of Gods,,https://shopee.co.id/ISLAND-OF-GODS-(-B%C3%A1li-)-by-NAMXL-edp-parfum-50ml-i.627139012.21029641548?sp_atk=bca33b4c-091a-451a-98de-73ecd77aa5c9,EDP,4.7,Unisex,50,"199,000.00","3,980.00",Frangipani,Tulip,Cyclamen,Freesia,Green Tea,,Green,,
198,NAMXL,,Last Boyfriend,,https://shopee.co.id/LAST-BOYFRIEND-by-NAMXL-edp-parfum-50ml-i.627139012.20029792294?sp_atk=cf07525c-cd2b-4929-b739-e283a4b6d0aa,EDP,4,Unisex,50,"199,000.00","3,980.00",Orange,Bergamot,Cedarwood,Grapefruit,Mint,Amber,Pine Tree,Tonka Bean,Strawberry
199,Nevernot,https://www.instagram.com/nevernotofficial/,Petite Avenue,,https://shopee.co.id/nevernotofficial/20304800508,EDP,4.8,Unisex,35,"189,000.00","5,400.00",Earl Grey Tea,Mandarin Orange,,Freesia,Red Rose,Jasmine,Iris,Musk,Sandalwood
200,Nevernot,,Date of Birth,,https://shopee.co.id/Date-of-Birth-Never-Not-Official-The-Routine-Series-EDP-i.777226914.21040724698?sp_atk=eec27f71-fc84-4a92-83b7-f3967c5467c0&xptdk=eec27f71-fc84-4a92-83b7-f3967c5467c0,EDP,4.8,Unisex,35,"189,000.00","5,400.00",Violet,Vanilla,Red Rose,Freesia,Pear Flowers,,Powdery,Woody,
201,Nevernot,,RSVP,,https://shopee.co.id/RSVP-Never-not-Signature-Series-EDP-i.777226914.19804799787?sp_atk=fb9be45d-0a8a-4610-aab5-c63834a7aa1a&xptdk=fb9be45d-0a8a-4610-aab5-c63834a7aa1a,EDP,5,Feminime,35,"189,000.00","5,400.00",Raspberry,Cherry,Peach,Marshmellow,Gardenia,Orchid,Musk,Oak,Ylang Ylang
202,Nevernot,,Hello Prune,,https://shopee.co.id/Hello-Prune-Never-Not-Official-Signature-Series-EDP-i.777226914.21004801231?sp_atk=f919eca9-1256-4ae0-9636-961463a3658b&xptdk=f919eca9-1256-4ae0-9636-961463a3658b,EDP,4.5,Unisex,35,"189,000.00","5,400.00",Magnolia,Bergamot,,Peach,Jasmine,,Amber,Sandalwood,Vanilla
203,Nevernot,,Tripping Apple,,https://shopee.co.id/Tripping-Apple-Never-Not-Official-The-Routine-Series-EDP-i.777226914.17283873843?sp_atk=057c6ae3-ac6d-46a9-845c-9556afe7d5cf&xptdk=057c6ae3-ac6d-46a9-845c-9556afe7d5cf,EDP,4.1,Unisex,35,"189,000.00","5,400.00",Red Apple,Cassis,,Iris,May Rose,Freesia,Sandalwood,Virginia Cedarwood,Patchouli
204,Next Door Neighbor,https://www.instagram.com/nextdoorneighbor__/,Ms. Kana,,https://shopee.co.id/nextdoorneighbor/18452840309,EDP,4.5,Feminime,30,"139,000.00","4,633.33",Sour Cherry,Raspberry,Orange,Vanilla,Gardenia,,Sandalwood,Musk,
205,Next Door Neighbor,,Mr. Robinson,,https://shopee.co.id/NDN-Next-Door-Neighbor-Parfum-Mr.-Robinson-EDP-(Eau-de-Perfume)-30ml-i.803734401.18247056074?sp_atk=5ea6a46e-0f5a-4479-8fea-3e497ede1d5d&xptdk=5ea6a46e-0f5a-4479-8fea-3e497ede1d5d,EDP,4.8,Unisex,30,"129,000.00","4,300.00",Lemon,Pineapple,Raspberry,Patchouli,Virginia Cedarwood,Red Apple,Vanilla,Sandalwood,Amber
206,Next Door Neighbor,,Mr. Watkins,,https://shopee.co.id/NDN-Next-Door-Neighbor-Parfum-Mr.-Watkins-EDP-(Eau-de-Perfume)-30ml-i.803734401.21947053524?sp_atk=7125cfaf-b005-45cf-b4c3-ab338949ac64,EDP,4.4,Unisex,30,"129,000.00","4,300.00",Bergamot,Spices,Lavender,Violet,Lotus,Apple,Musk,Sandalwood,Vetiver
207,Next Door Neighbor,,Mr. Eiji,,https://shopee.co.id/NDN-Next-Door-Neighbor-Mr.-Eiji-30ml-i.803734401.22912115917?sp_atk=74dbb7b5-b5fd-4b20-a55b-e9b4da51ff74&xptdk=74dbb7b5-b5fd-4b20-a55b-e9b4da51ff74,EDP,4.5,Unisex,30,"139,000.00","4,633.33",Raspberry,Blackberry,,Ylang Ylang,,,Vanilla,Cinnamon,
208,Oaken Lab,https://www.instagram.com/oakenlab/,Earth of Mankind,,https://shopee.co.id/oaken.lab/9114483632,EDP,4.7,Unisex,50,"799,000.00","15,980.00",Agarwood,Patchouli,Vetiver,Clove,Cassia,Tobacco,Vanilla,,
209,Oaken Lab,,Serious Moonlight,,https://shopee.co.id/Oaken-Lab-Perfume-50ml-Serious-Moonlight-i.326123192.18440438944?sp_atk=355ef7d7-ed06-4515-9c46-2f634f0fc9d1&xptdk=355ef7d7-ed06-4515-9c46-2f634f0fc9d1,EDP,4.7,Unisex,50,"799,000.00","15,980.00",Pomelo,Darjeeling Black Tea,Coconut,Night Jasmine,Woody,Oud,Vanilla,Leathery,Tar
210,Oaken Lab,,Conservatory,,https://shopee.co.id/OAKEN-LAB-Perfume-50ml-Conservatory-i.326123192.9114483870?sp_atk=80b89fc5-4545-4bca-b08e-a66f7a3db57d&xptdk=80b89fc5-4545-4bca-b08e-a66f7a3db57d,EDP,4.9,Unisex,50,"799,000.00","15,980.00",Basil,Orange Peel,Bergamot,Neroli,Red Rose,Cedarwood,Benzoin,Ambergris,Patchouli
211,Oaken Lab,,Far Afield,,https://shopee.co.id/OAKEN-LAB-Perfume-50ml-Far-Afield-i.326123192.8614478614?sp_atk=6d4a760f-d6fb-4047-8161-4e1f1e9450d9&xptdk=6d4a760f-d6fb-4047-8161-4e1f1e9450d9,EDP,4.9,Unisex,50,"799,000.00","15,980.00",Aqua,Cedarwood,,Black Pepper,,,Bergamot,Ozonic,
212,Oaken Lab,,Sanctum,,https://shopee.co.id/OAKEN-LAB-Perfume-50ml-Sanctum-i.326123192.8914484424?sp_atk=b16aec94-edc6-4e0a-adf7-d4d5063a4622&xptdk=b16aec94-edc6-4e0a-adf7-d4d5063a4622,EDP,4.5,Unisex,50,"799,000.00","15,980.00",Translucent Jasmine,Dry Bergamot,Red Rose,Paper,Sandalwood,Benzoin,Virginia Cedarwood,Patchouli,
213,Onix,https://www.instagram.com/onix.id/,FWB,,https://shopee.co.id/product/190702037/4348098389,EDP,4.3,Unisex,50,"189,000.00","3,780.00",Bergamot,Lemon,Orange,Freesia,White Floral,Amber,Amber,Vetiver,Musk
214,Onix,,Mexicola,,https://shopee.co.id/ONIX-MEXICOLA-i.190702037.6415722426?sp_atk=634d18df-c6f3-4ef2-abec-16876b297723&xptdk=634d18df-c6f3-4ef2-abec-16876b297723,EDP,4.6,Unisex,50,"188,000.00","3,760.00",Raspberry,Apple,Pineapple,Jasmine,Muguet,Cyclamen,Sandalwood,Coconut,Caramel
215,Onix,,Gratitute,,https://shopee.co.id/ONIX-GRATITUDE-i.190702037.20249894512?sp_atk=cc3d5316-ab5a-4067-91ff-a7e0e275d099&xptdk=cc3d5316-ab5a-4067-91ff-a7e0e275d099,EDP,4.2,Unisex,50,"197,000.00","3,940.00",Green,Fruity,Ozonic,White Floral,Caramel,Lactone,Amber,Musk,Vanilla
216,Onix,,Senoparty,,https://shopee.co.id/ONIX-SENOPARTY-i.190702037.3515818016?sp_atk=16730e13-ea2f-4c99-9222-d84d5594fa98&xptdk=16730e13-ea2f-4c99-9222-d84d5594fa98,EDP,4.5,Unisex,50,"177,000.00","3,540.00",Saffron,Fir,Bergamot,Oud,White Floral,Tageta,Amber,Musk,Cedarwood
217,Onix,,Helena,,https://shopee.co.id/HELENA-i.190702037.14757982776?sp_atk=78c0e0b9-955e-4132-9703-651ebf3d55a9&xptdk=78c0e0b9-955e-4132-9703-651ebf3d55a9,EDP,4.4,Unisex,50,"349,000.00","6,980.00",Lemon,Bergamot,Ozonic,Violet,Black Pepper,Pink Pepper,Patchouli,Vetiver,Woody
218,Onja,https://www.instagram.com/onja.id/,Savio,,https://shopee.co.id/onjaofficial/19971575723,EDP,4.2,Feminime,50,"170,000.00","3,400.00",Green Apple,Mint,Dew Berry,Freesia,Jasmine,Lily,Musk,Amber,Peach
219,Onja,,Fabo,,https://shopee.co.id/ONJA-Fabo-for-HIM-EDP-i.96704114.15896191672?sp_atk=c07881fd-f676-4e94-9f71-2aaa2fa166df&xptdk=c07881fd-f676-4e94-9f71-2aaa2fa166df,EDP,4.3,Masculine,50,"170,000.00","3,400.00",Tobacco,Spices,Mint,Vanilla,Tonka Bean,Geranium,Woody,Vetiver,Oakmoss
220,Orris,https://www.instagram.com/orris_id/,Antheia,,https://shopee.co.id/orrisperfume/10472485499,EDP,4.2,Unisex,50,"139,000.00","2,780.00",Red Red Rose,Black Pepper,,Raspberry,,,Papyrus,Amber,
221,Orris,,Arinna,,https://shopee.co.id/Orris-Eau-de-Parfum-Arinna-i.544573640.10372496491?sp_atk=4bca2948-5c36-4715-a7b6-b72bf788f57c&xptdk=4bca2948-5c36-4715-a7b6-b72bf788f57c,EDP,4.7,Unisex,50,"139,000.00","2,780.00",Pear,Melon,,Freesia,Red Rose,Musk,Patchouli,Rhuburb,Amber
222,Orris,,Amalur,,https://shopee.co.id/Orris-Eau-de-Parfum-Amalur-i.544573640.9196828931?sp_atk=6b7e7021-ea14-43b1-9975-29c77f6defcb&xptdk=6b7e7021-ea14-43b1-9975-29c77f6defcb,EDP,4.2,Unisex,50,"139,000.00","2,780.00",Lavender,Mandarin Orange,Petitgrain,Blackcurrant,Orange Blossom,,Vanilla,Musk,Cedarwood
223,Orris,,Eirine,,https://shopee.co.id/Orris-Eau-de-Parfum-Eirine-i.544573640.11372500589?sp_atk=71a8953b-d092-4035-8f4d-8928094557f2&xptdk=71a8953b-d092-4035-8f4d-8928094557f2,EDP,4.9,Unisex,50,"139,000.00","2,780.00",Pear,Melon,Peach,Lily,Freesia,Orchid,Vanilla,Cedarwood,Musk
224,Orris,,Hemera,,https://shopee.co.id/Orris-Eau-de-Parfum-Hemera-i.544573640.13051398013?sp_atk=9d434bf1-3b1e-41e2-8a90-071c9daaf2b6&xptdk=9d434bf1-3b1e-41e2-8a90-071c9daaf2b6,EDP,4.5,Unisex,50,"139,000.00","2,780.00",Red Red Rose,Musk,,Ambroxan,Woody,,Amber,Tobacco,
225,OUDS,https://www.instagram.com/ouds.id/,PSYCH,,https://shopee.co.id/ouds.id/7287844958,EDP,4.2,Unisex,35,"150,000.00","4,285.71",Aldehyde,Bergamot,Lemon,Apple,Violet,Pineapple,Ambergris,Musk,Cedarwood
226,OUDS,,BAKA,,https://shopee.co.id/OUDS-Perfume-Baka-i.258089214.4951672223?sp_atk=55b596e0-7ef1-4b8d-a4c9-ce2750d44c57&xptdk=55b596e0-7ef1-4b8d-a4c9-ce2750d44c57,EDP,4.3,Unisex,35,"150,000.00","4,285.71",Lemon,Mandarin Orange,,Patchouli,Musk,,Sandalwood,Agarwood,
