id,brand,instagram_link,variant,variant_image_url,variant_link,concentration,rating,gender,size (ml),price,price_per_ml,top_notes1,top_notes2,top_notes3,mid_notes1,mid_notes2,mid_notes3,base_notes1,base_notes2,base_notes3
24,Alien Objects,,Paris,,https://shopee.co.id/Alien-Objects-Paris-10ml-Eau-de-Parfum-i.769703211.16665362582?sp_atk=7bce6d0d-8ec1-4c8a-9ce6-5bfc3aa834aa&xptdk=7bce6d0d-8ec1-4c8a-9ce6-5bfc3aa834aa,EDP,4,Feminime,50,"480,000.00","9,600.00",Bergamot,Lily Of The Valley,Jasmine,Tuberose,Oakmoss,Galbanum,,,
25,Alien Objects,,Istanbul,,https://shopee.co.id/Alien-Objects-Istanbul-10ml-Eau-de-Parfum-i.769703211.20601852707?sp_atk=408ee90d-5c53-4582-812e-9ff54c95122a&xptdk=408ee90d-5c53-4582-812e-9ff54c95122a,EDP,4.8,Feminime,50,"480,000.00","9,600.00",Bergamot,Orange,Raspberry,Red Rose,Geranium,Amber,Oud,,
26,Alien Objects,,SHIZUKA,,https://shopee.co.id/Alien-Objects-SHIZUKA-50ml-Eau-de-Parfum-i.769703211.15983076731?sp_atk=70fceea5-4d86-4701-806f-053016b94160&xptdk=70fceea5-4d86-4701-806f-053016b94160,EDP,4.4,Feminime,50,"810,000.00","16,200.00",Sakura,Crayon,Lipstick,Sweet Potato,Marshmallow,,,,
27,Alien Objects,,Silent Night,,https://shopee.co.id/Alien-Objects-Silent-Night-50ml-Eau-de-Parfum-i.769703211.16565442321?sp_atk=099115cf-462e-4874-8c71-70f8327e8b2e&xptdk=099115cf-462e-4874-8c71-70f8327e8b2e,EDP,4.1,Feminime,50,"825,000.00","16,500.00",Carnation,Fir,Juniper,Frankincense,Juniper,,,,
28,Alien Objects,,London,,https://shopee.co.id/Alien-Objects-London-10ml-Eau-de-Parfum-i.769703211.17865364033?sp_atk=0bc80272-c743-4342-a500-0dbb3186bcd3&xptdk=0bc80272-c743-4342-a500-0dbb3186bcd3,EDP,4.3,Feminime,50,"480,000.00","9,600.00",Bergamot,Ginger,Red Rose,Gardenia,Coconut,Coriander,Musk,Tonka Bean,
29,ALT Perfumery,https://www.instagram.com/alt.perfumery/,Moroccan Sunset,,https://shopee.co.id/altperfumery/12639590547,EDP,4.1,Unisex,50,"229,000.00","4,580.00",Neroli,Bergamot,Red Fruits,Orange Blossom,Jasmine,Resin,Vanilla,Caramel,Musk
30,ALT Perfumery,,Tahiti Sunrise,,https://shopee.co.id/ALT-Perfume-Tahiti-Sunrise-50ml-Eau-De-Parfum-TheTS-i.478240323.11886828350?sp_atk=8808d1eb-5ec1-4237-94d7-0c163685c07f&xptdk=8808d1eb-5ec1-4237-94d7-0c163685c07f,EDP,4.8,Unisex,50,"229,000.00","4,580.00",Coconut,Fruity,,Sea Salt,Solar Notes,,Vanilla,Musk,Amber
31,ALT Perfumery,,ALEXANDRIA OUD,,https://shopee.co.id/Alt-Perfume-ALEXANDRIA-OUD-edp-50-ml-Eau-De-Parfum-i.478240323.19326514023?sp_atk=655b4377-3c25-4ca6-9132-13bfeded18f9&xptdk=655b4377-3c25-4ca6-9132-13bfeded18f9,EDP,4.1,Unisex,50,"229,000.00","4,580.00",Incense,Spices,,Ambergris,Agarwood,Oud,Vanilla,Sandalwood,Civer & Cedar
32,ALT Perfumery,,BARON,,https://shopee.co.id/Alt-BARON-Eau-De-Parfum-Perfume-100ml-i.478240323.8873162857?sp_atk=1debe69c-8716-4439-8799-527fde127b1e&xptdk=1debe69c-8716-4439-8799-527fde127b1e,EDP,4.1,Unisex,100,"299,000.00","2,990.00",Cardamom,Lavender,Lemon,Coffee,Whiskey,Cinnamon,Tonka Bean,Amber,Incense
33,ALT Perfumery,,FOXY,,https://shopee.co.id/Alt-FOXY-Eau-De-Parfum-perfume-100ml-i.478240323.9373151592?sp_atk=7bd17dfe-3a82-4562-99c7-cee68a8e63e3&xptdk=7bd17dfe-3a82-4562-99c7-cee68a8e63e3,EDP,4.7,Unisex,100,"299,000.00","2,990.00",Passionfruit,Grapefruit,Pineapple,Peony,Vanilla Orchid,Red Berries,Musk,Woody,Oakmoss
